,blink_number,blink_ratio,blink_total_duration,blink_mean_duration,blink_max_duration,invalid_ratio,invalid_total_duration,saccade_number,saccade_ratio,saccade_total_duration,saccade_mean_duration,saccade_max_duration,saccade_mean_amplitudes,saccade_max_amplitudes,visual_scanning_number,visual_scanning_ratio,visual_scanning_total_duration,visual_scanning_mean_duration,visual_scanning_max_duration,fixation_number,fixation_ratio,fixation_total_duration,fixation_mean_duration,fixation_max_duration,fixation_search_rate,smooth_pursuit_number,smooth_pursuit_ratio,smooth_pursuit_total_duration,smooth_pursuit_mean_duration,smooth_pursuit_max_duration,smooth_pursuit_mean_trajectory,smooth_pursuit_max_trajectory,total_identified_ratio,total_unidentified_ratio,total_trial_duration,mean_head_velocity_norm,participant_id,trial_id
0,0,0.0,,,,0.0,,8,0.04486403204774964,0.18949210000000005,0.023686512500000007,0.05784490000000009,10.328933684510428,28.380500659783323,3,0.0652371293161974,0.2755418999999997,0.0918472999999999,0.13339539999999994,1,0.025621886984093994,0.10821910000000035,0.10821910000000035,0.10821910000000035,9.240512996319474,8,0.5264609503876638,2.2236117999999996,0.27795147499999995,0.37499759999999993,11.420758410200467,17.308305562837166,0.6621839987357049,0.29940921770552986,4.2236975,28.591482784075303,TESTNA15,360VR_Pen3
0,1,0.014168446161363101,0.05984020000000001,0.05984020000000001,0.05984020000000001,0.02786462814724789,0.11768579999999984,4,0.019835876715609803,0.08377649999999986,0.020944124999999966,0.0329117000000001,5.144163637486397,12.482441191708316,0,0.0,,,,8,0.6072292786930674,2.5646228999999994,0.3205778624999999,0.7914227,24.95493586990899,2,0.2822570448716789,1.192108,0.596054,0.6332606999999999,11.346860760062036,17.565704833009477,0.9234906464417192,0.03503175492532092,4.2234836,6.969452299993818,TESTNA15,2D_Pen3
0,0,0.0,,,,0.0,,6,0.045955023229624296,0.23237930000000018,0.03872988333333336,0.049866999999999995,7.328591153132394,11.937218598675402,0,0.0,,,,11,0.8897379877473073,4.4991097,0.40900997272727274,1.5413937,26.894209758877405,0,0.0,,,,,,0.9356930109769316,0.03794818765158355,5.0566681,1.4257588807690382,TESTNA05,2D_Spread7
0,0,0.0,,,,0.0,,8,0.03962540253439821,0.2842448999999987,0.035530612499999836,0.05884159999999916,8.097840254210258,15.750105685873597,0,0.0,,,,6,0.4321734348207937,3.1001096999999995,0.5166849499999999,1.1668842,11.612492293417876,6,0.4541642897968857,3.2578567000000005,0.5429761166666668,0.8662187000000001,13.958203281136681,25.043951017949915,0.9259631271520776,0.05218742543669151,7.1733,6.032777381643957,TESTNA01,2D_Fist3
0,0,0.0,,,,0.0,,10,0.03962699283073277,0.2842397,0.02842397,0.04986660000000054,10.367781866459554,18.87351471581039,5,0.148726043952577,1.0667942,0.21335884,0.35006400000000015,3,0.08823142455913369,0.632873500000001,0.21095783333333365,0.2751564000000002,14.22085140237344,10,0.39748260702335086,2.8510953999999993,0.28510953999999994,0.5415501,10.052256756355748,15.718764317514708,0.6740670683657943,0.2942180975185904,7.1728809,27.514960566321147,TESTNA01,360VR_Fist3
0,1,0.014988985893167009,0.0757968,0.0757968,0.0757968,0.02327241134377163,0.11768469999999986,7,0.03412024810547925,0.17254039999999976,0.02464862857142854,0.0578460999999999,10.303488200718117,27.026763591538913,3,0.10709360765733004,0.5415545,0.18051816666666667,0.19946829999999993,2,0.07356539016484448,0.37200790000000006,0.18600395000000003,0.2054539,10.752459826793999,6,0.584538710601305,2.9559147000000006,0.4926524500000001,1.3244885000000002,18.905681523197682,43.42995721419927,0.8143069424221259,0.14690865747165774,5.0568331,25.953353578223563,TESTNA05,360VR_Spread7
