Matricule;TrainingName;Date;Sequence;SequenceTime;CenterEyePosX;CenterEyePosY;CenterEyePosZ;CenterEyeRotX;CenterEyeRotY;CenterEyeRotZ;CenterEyeRotW;LeftHandPosX;LeftHandPosY;LeftHandPosZ;LeftHandRotX;LeftHandRotY;LeftHandRotZ;LeftHandRotW;RightHandPosX;RightHandPosY;RightHandPosZ;RightHandRotX;RightHandRotY;RightHandRotZ;RightHandRotW
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,74000010639429;-0,2605977;1,709079;0,5863295;-0,01138678;0,01944253;0,01150194;0,9996799;-0,4750501;0,8269209;0,6515799;0,4235236;0,1099747;-0,4306026;0,7893763;-0,1365967;1,204601;0,7240885;0,1619056;0,1099182;-0,02387805;0,9803746
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,76000010594726;-0,2606882;1,709059;0,5861856;-0,01135414;0,0179486;0,01174198;0,9997056;-0,474965;0,827146;0,6515212;0,4235936;0,1093744;-0,4302039;0,7896394;-0,1367099;1,204659;0,7241169;0,1615994;0,1093513;-0,02387378;0,9804887
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,78000010550022;-0,2607481;1,709074;0,5860401;-0,01129731;0,01652187;0,01179081;0,9997302;-0,4748301;0,8274316;0,6514629;0,4235879;0,108676;-0,4297194;0,7900025;-0,1368199;1,204664;0,7241551;0,1613616;0,1087232;-0,02377722;0,9806
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,80000010505319;-0,2608668;1,709059;0,5857382;-0,01106765;0,01377761;0,01176411;0,9997746;-0,4745346;0,8280843;0,6513625;0,4231993;0,1072249;-0,4289165;0,790845;-0,136943;1,204624;0,7241958;0,1617553;0,1075871;-0,02374588;0,9806613
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,82000010460615;-0,2609322;1,709038;0,5855829;-0,01089606;0,01245633;0,01154618;0,9997964;-0,4744054;0,8283702;0,6512369;0,423008;0,1066806;-0,4286489;0,7911661;-0,1370326;1,20462;0,7242336;0,1619125;0,1070083;-0,02399085;0,9806926
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,84000010415912;-0,2612219;1,709046;0,5852234;-0,01057026;0,01012769;0,01126172;0,9998295;-0,4741681;0,8288609;0,6509724;0,4227875;0,105843;-0,4278496;0,7918288;-0,1373893;1,204533;0,7243513;0,1619291;0,1055602;-0,02390797;0,9808488
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,86000010371208;-0,261303;1,70899;0,5850568;-0,01026006;0,008953243;0,0114506;0,9998417;-0,474059;0,8290957;0,650887;0,4225973;0,1053702;-0,4273832;0,792245;-0,1375767;1,204455;0,7244072;0,1618696;0,1048897;-0,02372088;0,9809352
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,88000010326505;-0,2613815;1,708742;0,5847183;-0,009154083;0,007026911;0,01187701;0,9998629;-0,473875;0,8295141;0,6506528;0,422071;0,1038713;-0,4263616;0,7932733;-0,1381238;1,204053;0,7246228;0,1619684;0,1027425;-0,02317912;0,981159
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,90000010281801;-0,2614742;1,708397;0,5843585;-0,007879368;0,005476117;0,01199229;0,9998821;-0,4739135;0,829696;0,6502559;0,4219699;0,1024456;-0,4258079;0,7938098;-0,1385142;1,203562;0,7248397;0,1623523;0,1012958;-0,02261892;0,981259
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,92000010237098;-0,2614742;1,708397;0,5843585;-0,007879368;0,005476117;0,01199229;0,9998821;-0,4739135;0,829696;0,6502559;0,4219699;0,1024456;-0,4258079;0,7938098;-0,1385142;1,203562;0,7248397;0,1623523;0,1012958;-0,02261892;0,981259
