Video Name	Timeline	Head Position. x	Head Position. y	Head Position. z	Head Rotation. x	Head Rotation. y	Head Rotation. z	Controller Right Position. x	Controller Right Position. y	Controller Right Position. z	Controller Right Rotation. x	Controller Right Rotation. y	Controller Right Rotation. z	Controller Left Position. x	Controller Left Position. y	Controller Left Position. z	Controller Left Rotation. x	Controller Left Rotation. y	Controller Left Rotation. z	Eye. x	Eye. y	Eye. z	Eye Left Blinking	Eye Right Blinking	Combine Eye Gaze Point. x	Combine Eye Gaze Point. y	Combine Eye Gaze Point. z	Combine Eye Gaze Vector. x	Combine Eye Gaze Vector. y	Combine Eye Gaze Vector. z	Left Eye Pose Status	Right Eye Pose Status	Left Eye Position Guide. x	Left Eye Position Guide. y	Left Eye Position Guide. z	Right Eye Position Guide. x	Right Eye Position Guide. y	Right Eye Position Guide. z	Foveated Gaze Direction. x	Foveated Gaze Direction. y	Foveated Gaze Direction. z	Foveated Gaze Tracking State
Boxe_EPreN4_2D_Testing_N1_S8_D	0.9599996	0.2475	1.5854	-0.4055	7.3974	358.2141	358.8701	0.3034	0.6852	-0.4176	62.9618	2.4478	0.0703	0.1694	0.7184	-0.4121	53.9051	359.5898	295.6331	-0.2074	0.4507	1.9607	True	True	0.0027	-0.0004	0.0236	-0.1052	0.2258	0.9685	52	52	0.5846	0.4815	0	0.5846	0.4815	0	-0.1044	0.2266	-0.9684	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.9799996	0.2471	1.5854	-0.4033	7.4186	358.1749	358.8489	0.3027	0.6847	-0.4169	63.0847	2.3986	0.0416	0.1688	0.718	-0.4114	53.9768	359.4421	295.6208	-0.2066	0.4522	1.9604	True	True	0.0029	-0.0004	0.0236	-0.1042	0.2273	0.9682	52	52	0.5849	0.4811	0	0.5849	0.4811	0	-0.1033	0.228	-0.9682	0
Boxe_EPreN4_2D_Testing_N1_S8_D	0.9999996	0.2469	1.5855	-0.4023	7.4404	358.1481	358.8557	0.3022	0.6838	-0.4165	63.1506	2.3051	0.0082	0.1686	0.7177	-0.4111	54.0106	359.3655	295.6201	-0.2062	0.453	1.9603	True	True	0.0029	-0.0004	0.0236	-0.1042	0.2273	0.9682	52	52	0.5849	0.4811	0	0.5849	0.4811	0	-0.1033	0.228	-0.9682	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.02	0.2465	1.5857	-0.4003	7.491	358.1035	358.8637	0.3012	0.6828	-0.4156	63.2382	2.1473	359.9079	0.1682	0.7171	-0.4105	54.088	359.2573	295.6428	-0.2057	0.4557	1.9597	True	True	0.0029	-0.0004	0.0236	-0.104	0.2297	0.9677	52	52	0.5849	0.4804	0	0.5849	0.4804	0	-0.103	0.2304	-0.9676	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.04	0.2463	1.5857	-0.3993	7.5126	358.0741	358.8528	0.3007	0.6824	-0.4151	63.2668	2.0132	359.8376	0.1678	0.7162	-0.41	54.1421	359.1988	295.6519	-0.2049	0.4578	1.9593	True	True	0.003	-0.0004	0.0236	-0.1034	0.2304	0.9676	52	52	0.5849	0.4804	0	0.5849	0.4804	0	-0.1024	0.2312	-0.9675	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.06	0.246	1.5859	-0.3975	7.544	357.9977	358.8432	0.2998	0.6829	-0.4143	63.3238	1.8403	359.7312	0.1674	0.7159	-0.4093	54.2413	359.1521	295.6296	-0.2029	0.458	1.9595	True	True	0.0029	-0.0004	0.0236	-0.1015	0.2293	0.968	52	52	0.5854	0.4801	0	0.5854	0.4801	0	-0.1005	0.2301	-0.968	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.08	0.2459	1.586	-0.3965	7.5551	357.9586	358.8344	0.2994	0.6833	-0.4139	63.3613	1.7712	359.7241	0.1673	0.7159	-0.409	54.2859	359.1019	295.5978	-0.2017	0.4581	1.9595	True	True	0.0029	-0.0004	0.0236	-0.1015	0.2293	0.968	52	52	0.5854	0.4801	0	0.5854	0.4801	0	-0.1005	0.2301	-0.968	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.1	0.2458	1.5861	-0.3957	7.5683	357.915	358.8156	0.2992	0.6828	-0.4135	63.4128	1.7075	359.6781	0.167	0.7162	-0.4086	54.3388	359.1258	295.5946	-0.2011	0.4583	1.9595	True	True	0.003	-0.0004	0.0236	-0.1017	0.2294	0.968	52	52	0.5855	0.4801	0	0.5855	0.4801	0	-0.1007	0.2302	-0.9679	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.12	0.2455	1.5863	-0.394	7.5925	357.8547	358.7799	0.2988	0.6825	-0.4127	63.5038	1.5986	359.625	0.1667	0.7168	-0.4078	54.4001	359.041	295.5755	-0.2007	0.4597	1.9593	True	True	0.0034	-0.0004	0.0236	-0.1017	0.2309	0.9676	52	52	0.5856	0.4798	0	0.5856	0.4798	0	-0.1005	0.2317	-0.9676	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.14	0.2454	1.5864	-0.3932	7.6096	357.8274	358.7517	0.2986	0.6826	-0.4123	63.5368	1.565	359.6114	0.1665	0.7176	-0.4073	54.43	359.0301	295.5865	-0.2006	0.4606	1.9591	True	True	0.003	-0.0004	0.0236	-0.1018	0.2311	0.9676	52	52	0.5857	0.4797	0	0.5857	0.4797	0	-0.1008	0.2319	-0.9675	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.159999	0.2453	1.5866	-0.3917	7.6097	357.7898	358.7551	0.2981	0.6833	-0.4115	63.5953	1.4377	359.58	0.1663	0.7182	-0.4063	54.4598	358.9703	295.5731	-0.2008	0.4622	1.9587	True	True	0.003	-0.0004	0.0236	-0.102	0.2323	0.9673	52	52	0.5857	0.4792	0	0.5857	0.4792	0	-0.101	0.2331	-0.9672	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.179999	0.2453	1.5868	-0.3909	7.6059	357.7668	358.7897	0.2977	0.6844	-0.4112	63.6277	1.3573	359.5397	0.1663	0.7182	-0.4059	54.4774	358.9367	295.5836	-0.2011	0.4632	1.9584	True	True	0.0031	-0.0004	0.0236	-0.1023	0.2325	0.9672	52	52	0.5857	0.4792	0	0.5857	0.4792	0	-0.1012	0.2333	-0.9671	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.199999	0.2453	1.587	-0.3894	7.615	357.7443	358.7876	0.2972	0.6862	-0.4105	63.6913	1.1652	359.4142	0.166	0.7179	-0.4049	54.503	358.8156	295.5175	-0.1985	0.4631	1.9587	True	True	0.0031	-0.0003	0.0236	-0.0989	0.2317	0.9677	52	52	0.5863	0.4788	0	0.5863	0.4788	0	-0.0978	0.2325	-0.9677	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.219999	0.2453	1.5872	-0.3886	7.6139	357.7302	358.7765	0.297	0.6868	-0.4101	63.718	1.1086	359.3717	0.166	0.7177	-0.4045	54.5345	358.7951	295.5322	-0.1965	0.4621	1.9591	True	True	0.0034	-0.0003	0.0236	-0.0986	0.2305	0.9681	52	52	0.5863	0.4792	0	0.5863	0.4792	0	-0.0973	0.2313	-0.968	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.239999	0.2454	1.5873	-0.3879	7.6114	357.7151	358.7741	0.2971	0.6862	-0.4098	63.7403	1.0106	359.3189	0.166	0.7175	-0.404	54.5358	358.7567	295.5052	-0.1955	0.4626	1.9591	True	True	0.0035	-0.0003	0.0236	-0.0988	0.2319	0.9677	52	52	0.5863	0.4788	0	0.5863	0.4788	0	-0.0975	0.2327	-0.9677	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.259999	0.2456	1.5873	-0.3864	7.5959	357.6656	358.7834	0.2971	0.6852	-0.4092	63.7844	0.9192	359.2757	0.1662	0.7179	-0.4029	54.5757	358.7139	295.4828	-0.1944	0.4624	1.9592	True	True	0.003	-0.0003	0.0236	-0.0979	0.2312	0.968	52	52	0.5863	0.4788	0	0.5863	0.4788	0	-0.0968	0.232	-0.9679	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.279999	0.2458	1.5875	-0.3855	7.614	357.6385	358.776	0.2972	0.6844	-0.4088	63.8197	0.8916	359.2393	0.1664	0.7182	-0.4024	54.6065	358.696	295.4767	-0.1939	0.4629	1.9592	True	True	0.0029	-0.0003	0.0236	-0.098	0.2319	0.9678	52	52	0.5863	0.4788	0	0.5863	0.4788	0	-0.0971	0.2327	-0.9677	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.299999	0.2462	1.5875	-0.3842	7.6409	357.5913	358.7286	0.2971	0.6843	-0.4081	63.8674	0.8145	359.1936	0.1666	0.7187	-0.4017	54.6795	358.663	295.4321	-0.1928	0.4631	1.9593	True	True	0.0029	-0.0003	0.0236	-0.097	0.2319	0.9679	52	52	0.5865	0.4786	0	0.5865	0.4786	0	-0.096	0.2327	-0.9678	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.319999	0.2464	1.5876	-0.3834	7.6588	357.5756	358.7024	0.2972	0.6843	-0.4077	63.8929	0.7833	359.1508	0.1666	0.719	-0.4016	54.7097	358.6191	295.3831	-0.193	0.4635	1.9592	True	True	0.0029	-0.0003	0.0236	-0.0981	0.2322	0.9677	52	52	0.5865	0.4785	0	0.5865	0.4785	0	-0.0971	0.233	-0.9676	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.339999	0.247	1.5876	-0.3821	7.6862	357.5636	358.6088	0.2971	0.6848	-0.4068	63.9234	0.7993	359.1824	0.1665	0.7185	-0.4013	54.797	358.451	295.2114	-0.1933	0.4639	1.959	True	True	0.0031	-0.0003	0.0236	-0.0984	0.2324	0.9676	52	52	0.5865	0.4785	0	0.5865	0.4785	0	-0.0974	0.2332	-0.9675	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.359999	0.2473	1.5876	-0.3814	7.6983	357.557	358.5614	0.2971	0.6844	-0.4064	63.9501	0.7503	359.1871	0.1664	0.718	-0.401	54.8362	358.3315	295.126	-0.1921	0.4637	1.9592	True	True	0.0032	-0.0003	0.0236	-0.0967	0.2319	0.9679	52	52	0.5867	0.4785	0	0.5867	0.4785	0	-0.0956	0.2327	-0.9678	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.379999	0.2477	1.5875	-0.3808	7.7196	357.5488	358.5143	0.2971	0.6841	-0.4059	63.9783	0.7183	359.1507	0.1664	0.7176	-0.4007	54.8494	358.2924	295.058	-0.1913	0.4629	1.9594	True	True	0.0032	-0.0003	0.0236	-0.0968	0.2311	0.9681	52	52	0.5867	0.4785	0	0.5867	0.4785	0	-0.0956	0.2319	-0.968	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.399999	0.2484	1.5876	-0.3797	7.7753	357.5385	358.4361	0.297	0.6842	-0.4051	64.0374	0.4815	359.0281	0.1664	0.7175	-0.3998	54.8735	358.2205	294.9782	-0.1892	0.4635	1.9595	True	True	0.0031	-0.0003	0.0236	-0.0946	0.2323	0.968	52	52	0.5875	0.4784	0	0.5875	0.4784	0	-0.0935	0.2331	-0.9679	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.419999	0.2488	1.5876	-0.3791	7.7947	357.5337	358.3865	0.297	0.6844	-0.4047	64.0661	0.4245	358.985	0.1664	0.7178	-0.3993	54.8816	358.2091	294.9389	-0.1878	0.4642	1.9595	True	True	0.0036	-0.0003	0.0236	-0.0947	0.2327	0.9679	52	52	0.5875	0.4784	0	0.5875	0.4784	0	-0.0934	0.2335	-0.9679	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.439999	0.2496	1.5877	-0.3782	7.8231	357.5219	358.3109	0.2969	0.6831	-0.4037	64.1068	0.1985	358.8915	0.1664	0.72	-0.3982	54.8912	358.1491	294.8864	-0.186	0.4638	1.9597	True	True	0.0037	-0.0003	0.0236	-0.0936	0.2318	0.9682	52	52	0.5876	0.4786	0	0.5876	0.4786	0	-0.0922	0.2326	-0.9682	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.459999	0.2499	1.5877	-0.3777	7.8215	357.5089	358.2711	0.2969	0.6822	-0.4031	64.1212	0.1248	358.8502	0.1665	0.7206	-0.3977	54.8802	358.0892	294.861	-0.1852	0.4633	1.9599	True	True	0.0039	-0.0003	0.0236	-0.094	0.2314	0.9683	52	52	0.5875	0.4787	0	0.5875	0.4787	0	-0.0925	0.2322	-0.9683	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.479999	0.2507	1.5878	-0.377	7.7882	357.4746	358.2128	0.2969	0.6801	-0.4018	64.1399	0.0003	358.769	0.1663	0.7217	-0.3966	54.8481	357.9777	294.7674	-0.1827	0.4629	1.9602	True	True	0.0042	-0.0003	0.0236	-0.0918	0.2314	0.9685	52	52	0.5876	0.4787	0	0.5876	0.4787	0	-0.0901	0.2322	-0.9685	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.499999	0.2511	1.5879	-0.3766	7.7591	357.4536	358.1768	0.2969	0.6788	-0.4011	64.1554	359.9719	358.6789	0.1663	0.7218	-0.3961	54.8324	357.937	294.7281	-0.1812	0.4626	1.9604	True	True	0.0042	-0.0003	0.0236	-0.0917	0.2313	0.9686	52	52	0.5876	0.4787	0	0.5876	0.4787	0	-0.0901	0.2321	-0.9685	0
