time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638355562397352291;668452730;0.10;99162;31;31;1;1;4.134308;4.335587;0.4532439;0.4937204;0.4442196;0.4949845;36.52097;1.140747;-22.41768;-30.05753;-0.4822845;-18.09854;-0.06359863;-0.07290649;0.9953003;-0.08016968;-0.04737854;0.9956512;0.007;0;0;0;0;0.4736405;0.4736405;False;0;0;1.3031;1.2416;0.2669;1.9722;354.3832;355.1021
638355562397432075;668452739;0.10;99163;31;31;1;1;4.133545;4.336548;0.4532919;0.4937814;0.4442196;0.4950052;36.52017;1.136032;-22.4126;-30.05573;-0.4922333;-18.07375;-0.0637207;-0.07266235;0.9953156;-0.08042908;-0.04689026;0.9956512;0.007;0;0;0;0;0.4778552;0.4778552;False;0;0;1.3031;1.2416;0.2669;1.9722;354.3832;355.1021
638355562397511861;668452747;0.10;99164;31;31;1;1;4.133636;4.337006;0.4532919;0.4937843;0.4442297;0.4953366;36.51999;1.134735;-22.41187;-30.0547;-0.5045013;-18.04196;-0.06369019;-0.07243347;0.9953308;-0.08058167;-0.048172;0.995575;0.007;0;0;0;0;0.4793093;0.4793093;False;0;0;1.3032;1.2415;0.2669;1.9799;354.3622;355.0969
638355562397601621;668452755;0.13;99165;31;31;1;1;4.134064;4.332321;0.4532985;0.4937843;0.4442566;0.4954895;36.51985;1.127731;-22.40251;-30.05365;-0.5125275;-18.02669;-0.06369019;-0.07159424;0.9953918;-0.08091736;-0.04838562;0.9955444;0.007;0;0;0;0;0.4726269;0.4726269;False;0;0;1.3033;1.2415;0.2669;1.9924;354.3563;355.0836
638355562397681409;668452764;0.13;99166;31;31;1;1;4.134293;4.332672;0.4533022;0.4937843;0.4442566;0.4956342;36.5195;1.124527;-22.39641;-30.05365;-0.5176239;-18.01869;-0.06364441;-0.07131958;0.9954071;-0.0809021;-0.04870605;0.9955292;0.007;0;0;0;0;0.4690407;0.4690407;False;0;0;1.3034;1.2415;0.2669;2.0059;354.3464;355.0777
638355562397771170;668452772;0.13;99167;31;31;1;1;4.135239;4.330826;0.4533332;0.4937843;0.4443283;0.4957199;36.51892;1.11705;-22.37782;-30.05365;-0.5207825;-18.01869;-0.06370544;-0.0708313;0.9954376;-0.08132935;-0.04858398;0.9954987;0.007;0;0;0;0;0.4744254;0.4744254;False;0;0;1.3034;1.2415;0.2669;2.0059;354.3464;355.0777
638355562397850961;668452780;0.13;99168;31;31;1;1;4.142319;4.316711;0.4535191;0.4938547;0.4443768;0.4957199;36.51855;1.116745;-22.37689;-30.05365;-0.5207825;-18.01869;-0.06483459;-0.07113647;0.9953461;-0.08166504;-0.04867554;0.9954681;0.007;0;0;0;0;0.4773152;0.4773152;False;0;0;1.3034;1.2415;0.2670;2.0039;354.3325;355.0719
638355562397930745;668452789;0.17;99169;31;31;1;1;4.134476;4.316971;0.4535191;0.4938792;0.4444646;0.4957216;36.51855;1.11412;-22.3705;-30.05365;-0.5214844;-18.01869;-0.0647583;-0.07118225;0.9953461;-0.08218384;-0.04853821;0.9954224;0.007;0;0;0;0;0.4673784;0.4673784;False;0;0;1.3035;1.2414;0.2671;2.0101;354.3191;355.0648
638355562398030462;668452797;0.17;99170;31;31;1;1;4.134659;4.317001;0.4535191;0.4939727;0.4444646;0.4957285;36.51855;1.111176;-22.36598;-30.05365;-0.522583;-18.01869;-0.0647583;-0.07142639;0.9953308;-0.08216858;-0.04840088;0.9954376;0.007;0;0;0;0;0.4620455;0.4620455;False;0;0;1.3036;1.2414;0.2670;2.0246;354.3059;355.0630
638355562398100287;668452805;0.17;99171;31;31;1;1;4.130386;4.302994;0.4535322;0.4939727;0.4448735;0.4957285;36.51855;1.111176;-22.36598;-30.05365;-0.522583;-18.01869;-0.06480408;-0.07145691;0.9953308;-0.08462524;-0.0484314;0.995224;0.007;0;0;0;0;0.4490762;0.4490762;False;0;0;1.3036;1.2414;0.2670;2.0246;354.3059;355.0630
