time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638417132423562210;92277387;0.10;138711;31;31;1;1;3.394592;3.382874;0.462016;0.5939772;0.5048612;0.6777532;34.62685;2.659409;-38.71199;-31.74712;0.3514709;-38.54179;0.007293701;-0.02377319;0.9996796;0.07798767;-0.03042603;0.9964752;0.007;0;0;0;0;0.02042785;0.02042785;False;0;0;0.1751;1.2242;0.7552;12.7115;0.3318;0.7771
638417132423641999;92277395;0.10;138712;31;31;1;1;3.360306;3.282028;0.462427;0.5927345;0.5052695;0.6744877;34.62566;2.664963;-38.70732;-31.74625;0.3741455;-38.57144;0.005249023;-0.01780701;0.9998169;0.07473755;-0.01589966;0.9970703;0.007;0;0;0;0;0.01999553;0.01999553;False;0;0;0.1744;1.2231;0.7581;12.9345;0.2789;0.9056
638417132423731766;92277403;0.10;138713;31;31;1;1;3.371338;3.246994;0.4614582;0.5917245;0.5051584;0.671012;34.62698;2.614746;-38.46727;-31.74774;0.6452026;-39.09395;0.01132202;-0.01579285;0.9998016;0.07528687;-0.01930237;0.9969635;0.007;0;0;0;0;0.01976352;0.01976352;False;0;0;0.1744;1.2231;0.7581;12.9345;0.2789;0.9056
638417132423811554;92277412;0.13;138714;31;31;1;1;3.398605;3.26326;0.4604774;0.5900558;0.5047014;0.6686431;34.6313;2.717957;-38.59377;-31.75322;0.6508331;-38.90637;0.0164032;-0.02024841;0.999649;0.07920837;-0.0193634;0.9966583;0.007;0;0;0;0;0.02636631;0.02636631;False;0;0;0.1737;1.2224;0.7613;13.1110;0.2040;1.0790
638417132423891333;92277420;0.13;138715;31;31;1;1;3.292068;3.267578;0.4607578;0.5871021;0.5049702;0.6661478;34.62036;2.744415;-38.47815;-31.76141;0.6843872;-38.87038;0.01811218;-0.01623535;0.9996948;0.07943726;-0.01481628;0.9967194;0.007;0;0;0;0;0.02990987;0.02990987;False;0;0;0.1731;1.2217;0.7642;13.2377;0.1209;1.2503
638417132423981100;92277428;0.13;138716;31;31;1;1;3.374054;3.330078;0.4618596;0.5856121;0.5062164;0.6643068;34.614;2.823639;-38.65042;-31.7666;0.7618561;-39.03255;0.01199341;-0.01301575;0.9998322;0.07385254;-0.009765625;0.9972076;0.007;0;0;0;0;0.0270833;0.0270833;False;0;0;0.1724;1.2212;0.7672;13.3219;0.0194;1.4118
638417132424060885;92277437;0.13;138717;31;31;1;1;3.323486;3.271866;0.4628094;0.5838616;0.5069475;0.6638653;34.60345;2.884903;-38.83284;-31.77252;0.77388;-39.10423;0.008666992;-0.004348755;0.999939;0.07052612;-0.00567627;0.9974823;0.007;0;0;0;0;0.02556636;0.02556636;False;0;0;0.1724;1.2212;0.7672;13.3219;0.0194;1.4118
638417132424140673;92277445;0.17;138718;31;31;1;1;3.28299;3.331161;0.4634481;0.5846772;0.5077472;0.6644418;34.59911;2.861801;-38.78844;-31.78343;0.7976837;-39.2206;0.005859375;-0.007461548;0.9999542;0.06869507;-0.005828857;0.9976196;0.007;0;0;0;0;0.02749047;0.02749047;False;0;0;0.1719;1.2204;0.7699;13.4414;359.9229;1.5518
638417132424230425;92277453;0.17;138719;31;31;1;1;3.203064;3.31691;0.4636636;0.5839586;0.5085456;0.6650235;34.58789;2.822922;-38.69658;-31.79694;0.8074799;-39.28549;0.007720947;-0.0007781982;0.9999695;0.06692505;-0.007003784;0.9977264;0.007;0;0;0;0;0.0285231;0.0285231;False;0;0;0.1714;1.2197;0.7725;13.5945;359.8022;1.7088
638417132424310222;92277462;0.17;138720;31;31;1;1;3.214096;3.248077;0.4645971;0.5827053;0.5098023;0.6645938;34.57875;2.95433;-39.08488;-31.81447;0.8605042;-39.43236;0.003646851;0.002670288;0.9999847;0.0630188;-0.006713867;0.9979858;0.007;0;0;0;0;0.01749225;0.01749225;False;0;0;0.1710;1.2190;0.7750;13.7503;359.7004;1.8520
638417132424390008;92277470;0.17;138721;31;31;1;1;3.315033;3.340302;0.4638888;0.5810972;0.5102233;0.6643595;34.56059;2.893127;-38.81131;-31.83661;0.8488464;-39.36482;0.01196289;0.00970459;0.9998779;0.06596375;-0.006652832;0.9977875;0.007;0;0;0;0;0.01157227;0.01157227;False;0;0;0.1710;1.2190;0.7750;13.7503;359.7004;1.8520
638417132424479768;92277478;0.20;138722;31;31;1;1;3.230118;3.344742;0.4656744;0.5797589;0.511569;0.6638111;34.54274;2.785294;-38.39709;-31.85924;0.7364502;-39.0562;0.005661011;0.01490784;0.9998627;0.06312561;-0.0001373291;0.9980011;0.007;0;0;0;0;0.01366361;0.01366361;False;0;0;0.1706;1.2185;0.7775;13.9010;359.6413;1.9309
638417132424559557;92277487;0.20;138723;31;31;1;1;3.260971;3.340454;0.4669612;0.5794962;0.513134;0.6635134;34.52701;2.786118;-38.34236;-31.88307;0.6333313;-38.78191;0.0009613037;0.01309204;0.9999084;0.05921936;0.005218506;0.99823;0.007;0;0;0;0;0.01478598;0.01478598;False;0;0;0.1704;1.2181;0.7799;14.0054;359.6025;1.9568
638417132424639331;92277495;0.20;138724;31;31;1;1;3.425385;3.360764;0.4671336;0.5775497;0.5130113;0.6633334;34.51492;2.789169;-38.25888;-31.89587;0.6061249;-38.72101;0.001739502;0.02070618;0.9997711;0.0627594;0.008102417;0.9979858;0.007;0;0;0;0;0.009215298;0.009215298;False;0;0;0.1704;1.2181;0.7799;14.0054;359.6025;1.9568
638417132424729099;92277503;0.20;138725;31;31;1;1;3.468613;3.390701;0.4672499;0.5782732;0.514725;0.6635599;34.49893;2.823349;-38.41145;-31.89592;0.6922455;-39.04974;0.00428772;0.01867676;0.9998016;0.05326843;0.01043701;0.9985199;0.007;0;0;0;0;0.006225653;0.006225653;False;0;0;0.1702;1.2176;0.7822;14.0929;359.5721;1.9394
638417132424808890;92277512;0.23;138726;31;31;1;1;3.461838;3.333038;0.4671434;0.5783607;0.5142654;0.6634262;34.49498;2.82901;-38.44519;-31.91942;0.5519104;-38.68806;0.005905151;0.01895142;0.9998016;0.06040955;0.01651001;0.9980316;0.007;0;0;0;0;0.0267351;0.0267351;False;0;0;0.1702;1.2170;0.7845;14.1584;359.5668;1.8821
638417132424888673;92277520;0.23;138727;31;31;1;1;3.393097;3.339462;0.4668491;0.577912;0.515309;0.6633108;34.49301;2.831345;-38.41437;-31.91098;0.6377258;-38.93661;0.008743286;0.01864624;0.9997864;0.05276489;0.01542664;0.9984741;0.007;0;0;0;0;0.037742;0.037742;False;0;0;0.1701;1.2164;0.7867;14.2120;359.5743;1.8275
638417132424978438;92277528;0.23;138728;31;31;1;1;3.47731;3.370819;0.4670269;0.5775399;0.5153593;0.6633751;34.48701;2.790848;-38.28236;-31.91267;0.6306915;-38.91724;0.008544922;0.02238464;0.9997101;0.05303955;0.01554871;0.9984589;0.007;0;0;0;0;0.03815079;0.03815079;False;0;0;0.1702;1.2158;0.7885;14.2430;359.5910;1.7580
638417132425058219;92277537;0.23;138729;31;31;1;1;3.438171;3.340591;0.4669482;0.5778348;0.5154097;0.6633108;34.4875;2.805222;-38.33635;-31.91437;0.6236572;-38.89787;0.009140015;0.02044678;0.9997406;0.05290222;0.01585388;0.9984589;0.007;0;0;0;0;0.03837018;0.03837018;False;0;0;0.1702;1.2158;0.7885;14.2430;359.5910;1.7580
638417132425147985;92277545;0.27;138730;31;31;1;1;3.258911;3.334427;0.4665628;0.578445;0.5155701;0.6631935;34.48964;2.823837;-38.43352;-31.91539;0.6306915;-38.91724;0.01216125;0.01712036;0.9997711;0.0521698;0.01623535;0.9985046;0.007;0;0;0;0;0.03519744;0.03519744;False;0;0;0.1702;1.2151;0.7905;14.2642;359.6063;1.7000
638417132425227773;92277553;0.27;138731;31;31;1;1;3.339584;3.32782;0.4664676;0.5793545;0.5157305;0.6630762;34.48859;2.793945;-38.37181;-31.91643;0.6377258;-38.93661;0.01249695;0.0148468;0.9998016;0.05143738;0.0166626;0.9985352;0.007;0;0;0;0;0.03349471;0.03349471;False;0;0;0.1702;1.2145;0.7926;14.2959;359.6510;1.6475
638417132425307555;92277562;0.27;138732;31;31;1;1;3.28775;3.336807;0.4667725;0.5793149;0.5156228;0.6625929;34.49127;2.775116;-38.37047;-31.91714;0.8518677;-39.5278;0.01025391;0.01889038;0.9997559;0.05239868;0.01304626;0.9985352;0.007;0;0;0;0;0.03419431;0.03419431;False;0;0;0.1703;1.2137;0.7943;14.3789;359.7193;1.6003
638417132425387338;92277570;0.27;138733;31;31;1;1;3.23143;3.277222;0.466199;0.5791492;0.5170315;0.6640196;34.49974;2.836594;-38.63162;-31.90945;0.6377869;-39.04843;0.012146;0.02253723;0.9996643;0.0422821;0.01831055;0.9989319;0.007;0;0;0;0;0.03456977;0.03456977;False;0;0;0.1703;1.2137;0.7943;14.3789;359.7193;1.6003
638417132425477099;92277578;0.30;138734;31;31;1;1;3.265991;3.232971;0.4653957;0.5799232;0.5163585;0.6638587;34.50613;2.809296;-38.63364;-31.9019;0.6222687;-39.04901;0.01550293;0.02433777;0.9995728;0.04421997;0.02203369;0.998764;0.007;0;0;0;0;0.05076647;0.05076647;False;0;0;0.1706;1.2127;0.7957;14.5143;359.7586;1.5651
638417132425556890;92277587;0.30;138735;31;31;1;1;3.224548;3.266479;0.4647139;0.5807828;0.5153382;0.6644568;34.50928;2.777786;-38.6792;-31.89508;0.5923004;-38.98442;0.01927185;0.02879333;0.9993896;0.04876709;0.02102661;0.9985809;0.007;0;0;0;0;0.05945883;0.05945883;False;0;0;0.1707;1.2118;0.7971;14.6827;359.8285;1.5455
638417132425646653;92277595;0.30;138736;31;31;1;1;3.238861;3.219833;0.4636512;0.5818387;0.5162504;0.6641943;34.5219;2.783081;-38.67509;-31.8839;0.5545197;-38.84877;0.02296448;0.02073669;0.9995117;0.04089355;0.02124023;0.9989319;0.007;0;0;0;0;0.05883197;0.05883197;False;0;0;0.1707;1.2109;0.7986;14.8049;359.8903;1.5322
638417132425726435;92277603;0.30;138737;31;31;1;1;3.188995;3.184479;0.4634158;0.5793319;0.5151645;0.661487;34.53844;2.849869;-38.78403;-31.86623;0.7687073;-39.29582;0.02099609;0.02793884;0.9993744;0.04316711;0.02029419;0.9988556;0.007;0;0;0;0;0.05849556;0.05849556;False;0;0;0.1707;1.2109;0.7986;14.8049;359.8903;1.5322
638417132425806221;92277612;0.33;138738;31;31;1;1;3.185776;3.246246;0.4634416;0.5786415;0.5155067;0.6606151;34.54904;2.902344;-38.84229;-31.85658;0.8530426;-39.40247;0.0184021;0.02404785;0.999527;0.03959656;0.01495361;0.9990997;0.007;0;0;0;0;0.0641643;0.0641643;False;0;0;0.1707;1.2103;0.7999;14.9091;359.9554;1.5106
638417132425895987;92277620;0.33;138739;31;31;1;1;3.233261;3.184708;0.4618548;0.5776122;0.5141131;0.6584092;34.56175;2.968903;-38.90152;-31.84303;0.9300079;-39.50621;0.0252533;0.01960754;0.9994812;0.04421997;0.01731873;0.9988708;0.007;0;0;0;0;0.06720656;0.06720656;False;0;0;0.1707;1.2097;0.8013;14.9874;0.0110;1.4955
638417132425975771;92277628;0.33;138740;31;31;1;1;3.267944;3.137375;0.4622394;0.577754;0.5126918;0.6584675;34.57263;2.968445;-38.9231;-31.83131;0.9447174;-39.49469;0.02005005;0.02050781;0.999588;0.04946899;0.01278687;0.9986877;0.007;0;0;0;0;0.06995806;0.06995806;False;0;0;0.1707;1.2092;0.8026;15.0104;0.0500;1.4462
638417132426065534;92277637;0.33;138741;31;31;1;1;3.292252;3.096359;0.4623539;0.5771873;0.513306;0.6568754;34.58173;2.984879;-38.93433;-31.8223;0.9532623;-39.49312;0.01708984;0.02124023;0.9996185;0.04382324;0.01939392;0.9988403;0.007;0;0;0;0;0.07143472;0.07143472;False;0;0;0.1707;1.2092;0.8026;15.0104;0.0500;1.4462
