time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638417144371098629;93472138;0.10;229881;31;31;1;1;3.489075;3.470001;0.459999;0.6296439;0.5113927;0.7785919;34.85088;1.303345;-38.73898;-31.57889;-3.162125;-37.38896;-0.03005981;0.06486511;0.9974365;0.0003356934;0.06318665;0.9979858;0.007;0;0;0;0;0.7487755;0.7487755;False;0;0;0.0850;1.1871;0.4819;12.9832;282.2992;5.7702
638417144371188383;93472146;0.10;229882;31;31;1;1;3.430878;3.469986;0.4584714;0.6293904;0.5110757;0.7767433;34.86183;1.405243;-39.02571;-31.55525;-3.043167;-37.58266;-0.02281189;0.06217957;0.9978027;-0.002838135;0.06181335;0.9980774;0.007;0;0;0;0;0.7444445;0.7444445;False;0;0;0.0852;1.1869;0.4825;13.0387;282.4815;5.7361
638417144371278136;93472154;0.13;229883;31;31;1;1;3.451584;3.499985;0.4575443;0.6291514;0.5090922;0.7780614;34.87714;1.42981;-39.08893;-31.54942;-3.220688;-37.23543;-0.02072144;0.06251526;0.997818;0.007217407;0.06770325;0.9976654;0.007;0;0;0;0;0.7421201;0.7421201;False;0;0;0.0853;1.1866;0.4829;13.1113;282.6412;5.6968
638417144371377878;93472163;0.13;229884;31;31;1;1;3.40712;3.446732;0.4562937;0.6279026;0.508521;0.775929;34.89021;1.422073;-39.04906;-31.5453;-3.212921;-37.2554;-0.01544189;0.06907654;0.9974823;0.009262085;0.07823181;0.9968872;0.007;0;0;0;0;0.744176;0.744176;False;0;0;0.0854;1.1864;0.4835;13.1806;282.8153;5.6404
638417144371477606;93472171;0.13;229885;31;31;1;1;3.465714;3.51767;0.45646;0.6285775;0.5080757;0.7758296;34.89928;1.380966;-38.90343;-31.5331;-3.164139;-37.35905;-0.01889038;0.06474304;0.9977112;0.00958252;0.07661438;0.9970093;0.007;0;0;0;0;0.7452793;0.7452793;False;0;0;0.0854;1.1864;0.4835;13.1806;282.8153;5.6404
638417144371577366;93472188;0.13;229887;31;31;1;1;3.48999;3.418518;0.4540314;0.6266804;0.5070751;0.7743947;34.91164;1.341171;-38.74812;-31.50697;-2.942673;-37.8351;-0.006347656;0.07527161;0.9971313;0.009033203;0.07019043;0.9974823;0.007;0;0;0;0;0.7557846;0.7557846;False;0;0;0.0854;1.1861;0.4839;13.2407;282.9745;5.5629
638417144371657127;93472196;0.17;229888;31;31;1;1;3.428207;3.383698;0.4540767;0.6276992;0.5068521;0.7736691;34.9202;1.295242;-38.59731;-31.50398;-2.849808;-38.01982;-0.008041382;0.06871033;0.9975891;0.009414673;0.06718445;0.9976807;0.007;0;0;0;0;0.7544124;0.7544124;False;0;0;0.0854;1.1858;0.4840;13.3006;283.1483;5.4939
638417144371746885;93472204;0.17;229889;31;31;1;1;3.386673;3.371353;0.4535594;0.6255461;0.506853;0.7727659;34.93239;1.267487;-38.50006;-31.50177;-2.910065;-37.85733;-0.007019043;0.0816803;0.9966278;0.008926392;0.07313538;0.9972687;0.007;0;0;0;0;0.753676;0.753676;False;0;0;0.0854;1.1856;0.4845;13.3583;283.3087;5.3984
638417144371826731;93472213;0.17;229890;31;31;1;1;3.337631;3.320038;0.4522661;0.6260662;0.5062716;0.7727424;34.94966;1.269455;-38.49121;-31.46677;-2.135681;-39.65623;-0.002532959;0.07699585;0.9970245;0.004089355;0.03691101;0.9992981;0.007;0;0;0;0;0.7648907;0.7648907;False;0;0;0.0855;1.1854;0.4847;13.4059;283.4739;5.3196
638417144371926422;93472221;0.20;229891;31;31;1;1;3.402344;3.36882;0.451189;0.6243474;0.5025834;0.7714631;34.98924;1.328537;-38.66893;-31.46231;-2.916931;-37.79478;-0.005447388;0.08673096;0.9962158;0.02442932;0.07696533;0.9967194;0.007;0;0;0;0;0.7709093;0.7709093;False;0;0;0.0854;1.1852;0.4851;13.4418;283.6331;5.2486
