time(100ns);time_stamp(ms);time(UnityVideoPlayer);frame;eye_valid_L;eye_valid_R;openness_L;openness_R;pupil_diameter_L(mm);pupil_diameter_R(mm);pos_sensor_L.x;pos_sensor_L.y;pos_sensor_R.x;pos_sensor_R.y;gaze_origin_L.x(mm);gaze_origin_L.y(mm);gaze_origin_L.z(mm);gaze_origin_R.x(mm);gaze_origin_R.y(mm);gaze_origin_R.z(mm);gaze_direct_L.x;gaze_direct_L.y;gaze_direct_L.z;gaze_direct_R.x;gaze_direct_R.y;gaze_direct_R.z;gaze_sensitive;frown_L;frown_R;squeeze_L;squeeze_R;wide_L;wide_R;distance_valid_C;distance_C(mm);track_imp_cnt;helmet_pos_x;helmet_pos_y;helmet_pos_z;helmet_rot_x;helmet_rot_y;helmet_rot_z
638342802882596202;-1511527596;11.27;123311;31;31;1;1;3.838287;3.95491;0.4016598;0.6512723;0.4506908;0.6218395;38.03552;1.21048;-37.88521;-32.1974;1.92186;-37.52078;0.05995178;-0.09603882;0.9935608;0.0821991;-0.1018524;0.991394;0.007;0;0;0;0;0.8889974;0.8889974;False;0;0;0.7961;1.2287;0.7097;0.2186;332.7692;359.7081
638342802882675967;-1511527587;0.00;123312;31;31;1;1;3.83757;3.961411;0.4016372;0.6512539;0.4507287;0.6218498;38.03665;1.211899;-37.88632;-32.19669;1.92424;-37.5219;0.05981445;-0.09617615;0.9935608;0.08178711;-0.102356;0.9913788;0.007;0;0;0;0;0.8919439;0.8919439;False;0;0;0.7961;1.2287;0.7097;0.2523;332.8126;359.6836
638342802882755770;-1511527579;0.00;123313;31;31;1;1;3.836853;3.96817;0.4016598;0.6512355;0.4506908;0.6218601;38.0378;1.213303;-37.88744;-32.19598;1.926605;-37.52301;0.05932617;-0.09634399;0.993576;0.08190918;-0.1029053;0.9913025;0.007;0;0;0;0;0.8935252;0.8935252;False;0;0;0.7961;1.2287;0.7097;0.2523;332.8126;359.6836
638342802882855484;-1511527571;0.00;123314;31;31;1;1;3.837952;3.973892;0.4016372;0.6511348;0.4507287;0.6218498;38.03833;1.212387;-37.88632;-32.1958;1.92778;-37.52473;0.05937195;-0.09545898;0.9936523;0.08163452;-0.1029358;0.9913177;0.007;0;0;0;0;0.8950079;0.8950079;False;0;0;0.7961;1.2287;0.7097;0.2767;332.8479;359.6718
638342802882935274;-1511527562;0.00;123315;31;31;1;1;3.837341;3.979568;0.4016146;0.6510342;0.4507664;0.6218395;38.03885;1.213303;-37.88744;-32.19598;1.92897;-37.52644;0.05941772;-0.09490967;0.9936981;0.08143616;-0.1030121;0.991333;0.007;0;0;0;0;0.8958036;0.8958036;False;0;0;0.7961;1.2287;0.7097;0.2767;332.8479;359.6718
638342802883015070;-1511527554;0.03;123316;31;31;1;1;3.83548;3.972961;0.4015744;0.6509156;0.4507976;0.6216636;38.03885;1.21405;-37.88911;-32.1958;1.942429;-37.55431;0.05973816;-0.09408569;0.9937592;0.08102417;-0.1030884;0.9913635;0.007;0;0;0;0;0.8756612;0.8756612;False;0;0;0.7962;1.2285;0.7097;0.3473;332.9186;359.6491
638342802883104840;-1511527546;0.03;123317;31;31;1;1;3.822525;3.963272;0.4006999;0.6506005;0.4500295;0.6208277;38.05263;1.209244;-37.84329;-32.19489;1.981567;-37.5835;0.06280518;-0.09436035;0.9935455;0.08613586;-0.1051636;0.9907074;0.007;0;0;0;0;0.8648512;0.8648512;False;0;0;0.7962;1.2284;0.7095;0.3719;332.9459;359.6358
638342802883174629;-1511527537;0.03;123318;31;31;1;1;3.790726;3.936386;0.4008268;0.6494443;0.4505824;0.621167;38.05746;1.19873;-37.79358;-32.19615;1.945663;-37.44566;0.061203;-0.08752441;0.994278;0.08279419;-0.1091766;0.9905548;0.007;0;0;0;0;0.8891897;0.8891897;False;0;0;0.7961;1.2284;0.7095;0.3787;332.9458;359.6299
638342802883284353;-1511527529;0.07;123319;31;31;1;1;3.840759;4.036118;0.4003732;0.6489537;0.4488141;0.619409;38.05739;1.173309;-37.67671;-32.19627;1.929459;-37.33379;0.06483459;-0.08616638;0.9941559;0.09664917;-0.1004028;0.9902344;0.007;0;0;0;0;0.9022516;0.9022516;False;0;0;0.7961;1.2284;0.7094;0.3533;332.9524;359.6205
638342802883354150;-1511527521;0.07;123320;31;31;1;1;3.850677;3.923386;0.3994022;0.6486633;0.4497102;0.6206601;38.05266;1.20134;-37.73105;-32.19687;1.928848;-37.27672;0.07305908;-0.08700562;0.993515;0.08973694;-0.1144714;0.9893494;0.007;0;0;0;0;0.9143838;0.9143838;False;0;0;0.7961;1.2284;0.7094;0.3533;332.9524;359.6205
