section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345036471431,484.345,525.118,1,,,-6.124952556831593,1.4396192997836719
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345040486431,484.47,526.005,1,,,-6.115435677813941,1.3731800392300508
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345044449431,484.743,527.273,1,,,-6.094789428092732,1.2782344856668562
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345048591431,484.888,529.171,1,,,-6.08362490083038,1.1361340918264289
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345056493431,485.286,530.905,1,,,-6.053593480499119,1.0062549935514524
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345060480431,486.181,532.452,1,,,-5.9863717249171735,0.8904229702088399
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345064724431,486.838,534.723,1,,,-5.936861293357626,0.7204013263798208
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345068508431,486.963,536.724,1,,,-5.927371602496505,0.5705379376851404
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345076499431,488.107,544.146,1,,,-5.841279306757717,0.014667327978855137
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345080452431,488.815,550.453,1,,,-5.788217308637319,-0.4576350766071673
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345084448431,489.709,555.189,1,,,-5.721400862542183,-0.8124097444442004
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345088476431,490.343,559.994,1,,,-5.674215510823446,-1.172283639153987
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345096461431,495.479,569.819,1,,,-5.290165684534747,-1.9085525649489468
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345100474431,497.037,573.63,1,1,,-5.173856827071339,-2.1941234088930095
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345104559431,497.363,576.302,1,1,,-5.149808040513589,-2.3943108909572417
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345108467431,498.37,577.925,1,1,,-5.074602120330135,-2.515984048499191
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345116475431,500.311,581.999,1,1,,-4.929729571832126,-2.821346526427174
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345120488431,502.347,583.139,1,1,,-4.777178482047356,-2.906993636270972
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345124534431,503.655,583.377,1,1,,-4.67908119537816,-2.924976631852342
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345128498431,504.196,584.993,1,1,,-4.638814432916668,-3.0460943390969
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345136805431,503.547,588.536,1,1,,-4.688269730473567,-3.3114276215734773
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345140457431,503.28,590.696,1,1,,-4.708788180442018,-3.4732398408669005
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345144484431,503.001,592.663,1,1,,-4.730213594600068,-3.6205640453155836
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345148612431,503.032,594.455,1,1,,-4.728300574156079,-3.7547896799001776
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345156472431,503.591,598.532,1,1,,-4.687477208166934,-4.060251026703188
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345160483431,504.544,600.493,1,1,,-4.616383352104098,-4.207274325583984
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345164558431,505.295,602.38,1,1,,-4.560534035956587,-4.348814773831589
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345168494431,507.126,605.004,1,1,,-4.423765333098036,-4.545680750133225
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345176483431,509.935,604.461,1,1,,-4.212564121533031,-4.505464840593061
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345180486431,512.542,606.29,1,1,,-4.0172074750301965,-4.642843538740124
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345184469431,513.412,607.31,1,1,,-3.95209617843333,-4.7194082291972705
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345188500431,514.204,606.635,1,1,,-3.8924140882488945,-4.669009147377899
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345196510431,519.251,605.059,1,1,,-3.5127942487940707,-4.5516216901698385
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345200480431,518.647,605.072,1,1,,-3.5582225885315304,-4.5524602277214345
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345204487431,518.457,604.798,1,1,,-3.57240080700198,-4.5319251565013445
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345208474431,517.943,603.987,1,1,,-3.610846947523667,-4.4710508057537774
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345216580431,518.964,603.715,1,1,,-3.5340492559506615,-4.450833016519268
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345220480431,519.961,604.235,1,1,,-3.45932149312288,-4.489933742340906
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345224462431,520.524,604.668,1,1,,-3.4171183366807525,-4.522487251487869
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345228483431,520.116,604.467,1,1,,-3.4477178533652704,-4.507335076605589
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345236507431,519.339,603.235,1,1,,-3.5057691387302974,-4.4148885642269855
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345240466431,519.133,602.805,1,1,,-3.5211837549354343,-4.38264247530364
