section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345499163431,-143.780487,2.621951,-2.5,0.007019,0.018555,-0.064575,6.861550322001051,89.6898823327881,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345504103431,-139.268295,1.585366,-3.04878,0.007446,0.006775,-0.064331,6.542537243116783,89.27817292245288,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345509043431,-134.329269,0.670732,-3.719512,0.008911,0.005554,-0.068604,6.1622468161539246,88.80481646921112,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345513983431,-128.963425,-0.304878,-3.963415,0.011169,0.010864,-0.072876,5.820207472666425,88.42769450725416,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345518923431,-122.804878,-1.158537,-4.085366,0.011719,0.012451,-0.07312,5.478034166129788,88.08659174208441,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345523863431,-116.341469,-2.073171,-4.207317,0.01709,0.019043,-0.078918,5.141743900135765,87.79041820573826,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345528803431,-109.695122,-2.804878,-4.207317,0.013916,0.020691,-0.081055,4.833439013833953,87.56051576526232,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345533743431,-102.743904,-3.597561,-4.207317,0.012634,0.0224,-0.082397,4.54042253061138,87.38220154100645,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345538683431,-95.670731,-4.329268,-4.146341,0.018066,0.028198,-0.087952,4.230897685216689,87.22782302757082,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345543623431,-88.231712,-4.939024,-3.963415,0.018677,0.034607,-0.098999,3.9404660818350976,87.1290003121909,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345548563431,-80.792686,-5.487805,-3.902439,0.0177,0.037354,-0.100342,3.6633214318557066,87.07910794462452,,,,,
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390345553503431,-73.475609,-6.158537,-4.085366,0.025879,0.039917,-0.105835,3.3403269439189103,87.03089493044087,,,,,
